Open,Day Range,52 Week Range,Market Cap,Shares Outstanding,Public Float,Beta,Rev. per Employee,P/E Ratio,EPS,Yield,Dividend,Ex-Dividend Date,Short Interest,% of Float Shorted,Average Volume,Instrument
205.00,190.00 - 205.00,39.00 - 340.00,11.33B,0,12.08M,0,2.684M,6.93,27.51,0.00%,3.00,Apr 5 2019,0,0,208.09K,LWL.N0000
27.50,27.00 - 28.40,16.90 - 44.50,961.43M,0,0,0,0,0,-16.06,0,0,0,0,0,5.93K,LCEY.N0000
3.50,3.40 - 3.60,1.40 - 6.50,432M,0,0,0,0,0,-0.27,0,0,0,0,0,306.29K,LDEV.N0000
16.90,16.00 - 16.90,5.80 - 24.90,8.25B,0,38.61M,0,66.509M,0,-1.33,0,0,0,0,0,191.47K,LGL.X0000
21.20,20.00 - 21.90,8.00 - 31.40,8.25B,0,78.47M,0,66.509M,0,-1.33,0,0,0,0,0,210.12K,LGL.N0000
14.40,14.30 - 14.60,8.00 - 19.50,565.5M,0,0,0,54.404M,7.81,1.84,0,0,0,0,0,145.52K,LITE.N0000
205.25,195.00 - 205.25,114.80 - 348.75,28.01B,0,0,0,0,5.16,38.09,0,0,0,0,0,125.84K,LFIN.N0000
66.70,66.50 - 67.00,50.00 - 90.00,1.79B,0,0,0,21.104M,3.30,20.18,0,0,0,0,0,28.62K,SHAW.N0000
29.90,29.80 - 29.90,18.00 - 41.00,1.37B,0,0,0,1.860M,0,-2.79,0,0,0,0,0,5.13K,LHL.N0000
540.00,539.00 - 540.00,445.00 - 639.90,43.2B,0,10.41M,0,201.837M,17.35,31.13,0,0,0,0,0,22.46K,LION.N0000
63.10,63.10 - 63.10,27.00 - 133.00,16.68B,0,263.64K,0,4.605M,77.78,0.81,0,0,0,0,0,1.36K,NIFL.N0000
6.30,6.10 - 6.40,2.20 - 9.70,33.08B,0,76.92M,0,13.352M,4.66,1.33,0,0,0,0,0,3.83M,LOFC.N0000
350.00,315.00 - 350.00,86.10 - 574.00,165.96B,0,37.9M,0,134.941M,7.04,46.85,0,0,0,0,0,1.27M,LOLC.N0000
