Open,Day Range,52 Week Range,Market Cap,Shares Outstanding,Public Float,Beta,Rev. per Employee,P/E Ratio,EPS,Yield,Dividend,Ex-Dividend Date,Short Interest,% of Float Shorted,Average Volume,Instrument
['රු.236.00'],['230.25 - 253.75'],['170.00 - 263.90'],['රු.7.5B'],['N/A'],['N/A'],['N/A'],['රු.16.071M'],['52.32'],['රු.4.51'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['168.35'],LAMB.N0000?countryCode=LK
['රු.160.00'],['160.00 - 160.00'],['111.10 - 184.00'],['රු.469.96M'],['N/A'],['N/A'],['N/A'],['රු.2.225M'],['8.15'],['රු.19.63'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['160.63'],LPRT.N0000?countryCode=LK
['රු.145.00'],['139.00 - 145.00'],['40.00 - 170.00'],['රු.1.93B'],['N/A'],['N/A'],['N/A'],['රු.5.651M'],['20.26'],['රු.6.90'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['71.07K'],LALU.N0000?countryCode=LK
['රු.874.00'],['870.00 - 900.00'],"['541.00 - 1,000.00']",['රු.3.26B'],['N/A'],['47.95K'],['N/A'],['රු.37.444M'],['195.53'],['රු.4.60'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['71.6'],ASHO.N0000?countryCode=LK
['රු.200.00'],['180.00 - 200.00'],['75.00 - 239.75'],['රු.1.14B'],['N/A'],['N/A'],['N/A'],['රු.2.443M'],['39.74'],['රු.4.67'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['3.48K'],CERA.N0000?countryCode=LK
['රු.50.10'],['49.00 - 50.10'],['27.50 - 60.00'],['රු.11.14B'],['N/A'],['135.53M'],['N/A'],['රු.3.771M'],['37.64'],['රු.1.30'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['65.11K'],LHCL.N0000?countryCode=LK
['රු.26.00'],['24.00 - 26.00'],['13.00 - 31.30'],['රු.13.84B'],['N/A'],['86.02M'],['N/A'],['N/A'],['N/A'],['-රු.0.82'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['506.96K'],LIOC.N0000?countryCode=LK
['රු.185.00'],['175.00 - 188.50'],['70.40 - 208.00'],['රු.7.29B'],['N/A'],['12.83M'],['N/A'],['රු.9.121M'],['12.85'],['රු.13.91'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['116.18K'],LMF.N0000?countryCode=LK
['රු.37.10'],['37.10 - 37.10'],['28.20 - 42.80'],['රු.8.01B'],['211.37M'],['N/A'],['N/A'],['N/A'],['35.38'],['රු.1.05'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['6.49K'],ASCO.N0000?countryCode=LK
['රු.291.00'],['271.00 - 295.00'],['50.00 - 342.00'],['රු.15.44B'],['N/A'],['12.59M'],['N/A'],['රු.8.938M'],['20.19'],['රු.13.85'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['194.06K'],TILE.N0000?countryCode=LK
['රු.53.50'],['53.00 - 53.50'],['29.00 - 63.00'],['රු.2.8B'],['N/A'],['N/A'],['N/A'],['N/A'],['9.43'],['රු.5.63'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['11.91K'],LVEN.N0000?countryCode=LK
['රු.299.00'],['259.25 - 299.00'],['39.00 - 340.00'],['රු.15.87B'],['N/A'],['12.08M'],['N/A'],['රු.2.684M'],['20.60'],['රු.13.44'],['0.00%'],['රු.3.00'],"['Apr 5, 2019']",['N/A'],['N/A'],['206.79K'],LWL.N0000?countryCode=LK
['රු.31.50'],['31.50 - 31.60'],['16.90 - 44.50'],['රු.1.07B'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['-රු.22.16'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['6.03K'],LCEY.N0000?countryCode=LK
['රු.4.40'],['4.20 - 4.60'],['1.40 - 6.50'],['රු.528M'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['-රු.2.01'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['424.52K'],LDEV.N0000?countryCode=LK
['රු.22.50'],['20.70 - 22.50'],['5.80 - 24.90'],['රු.10.59B'],['N/A'],['38.61M'],['N/A'],['රු.66.509M'],['N/A'],['-රු.1.33'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['212.52K'],LGL.X0000?countryCode=LK
['රු.27.50'],['26.10 - 27.50'],['8.00 - 31.40'],['රු.10.59B'],['N/A'],['78.47M'],['N/A'],['රු.66.509M'],['N/A'],['-රු.1.33'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['220.24K'],LGL.N0000?countryCode=LK
